Supplier name;Transaction value;Transaction date;Supplier org number;Supplier country;Revenue;ebit;ebit_margin;financial_data_year
GENERAL MANUFACTURING EQUIPMENT AS;5759263,326;2018-10-25;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;5519359,44;2018-04-05;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;5190040,985;2018-10-10;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;4710040,416;2018-09-25;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;4699218,138;2018-08-17;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
LIFE INSURANCE AS;4595337,187;2018-02-16;958995369;Norway;2514362281;193573101,2;0,076986957;2018
GENERAL MANUFACTURING EQUIPMENT AS;4436397,086;2018-05-21;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;4397060,458;2020-10-25;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;4353830,617;2020-11-05;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;4239370,806;2020-09-11;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
LIFE INSURANCE AS;4225964,657;2017-02-13;958995369;Norway;4336486800;141674135,6;0,032670256;2017
OKTAPACK AB;4171346,48;2020-07-02;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
LIFE INSURANCE AS;4144416,863;2019-02-28;958995369;Norway;2514362281;193573101,2;0,076986957;2018
GENERAL MANUFACTURING EQUIPMENT AS;4001781,739;2018-06-28;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;3923978,147;2020-11-26;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;3913306,494;2018-07-17;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
FORSIKRINGEN AS;3899473,944;2018-02-24;915651321;Norway;975702023,2;67036846,03;0,068706269;2018
GENERAL MANUFACTURING EQUIPMENT AS;3858874,322;2017-07-06;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;3821591,594;2018-10-18;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;3808564,836;2020-03-10;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;3747804,148;2020-11-21;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
LIFE INSURANCE AS;3723019,361;2020-02-11;958995369;Norway;;;;
GENERAL MANUFACTURING EQUIPMENT AS;3683005,782;2020-06-19;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;3680617,824;2018-10-09;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
FORSIKRINGEN AS;3641133,331;2017-02-09;915651321;Norway;1441741820;70487661,4;0,048890627;2017
GENERAL MANUFACTURING EQUIPMENT AS;3615232,421;2020-09-14;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;3614275,678;2020-05-22;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;3524660,65;2018-04-25;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;3521981,136;2020-11-07;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
FORSIKRINGEN AS;3486209,42;2019-02-20;915651321;Norway;975702023,2;67036846,03;0,068706269;2018
GENERAL MANUFACTURING EQUIPMENT AS;3449116,023;2017-08-31;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;3394087,894;2017-09-23;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;3288356,787;2020-12-29;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
FORSIKRINGEN AS;3239436,721;2020-02-05;915651321;Norway;;;;
GENERAL MANUFACTURING EQUIPMENT AS;3200684,251;2020-12-29;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;3188652,765;2017-05-29;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;3184034,299;2017-10-30;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;3153910,063;2020-04-05;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
GENERAL MANUFACTURING EQUIPMENT AS;3132640,892;2019-12-06;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;3113889,521;2017-11-06;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;3109658,318;2017-12-05;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;3091910,302;2017-06-06;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;3090188,703;2017-10-20;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;3039021,608;2017-11-14;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;3026135,227;2019-11-18;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;3016591,576;2018-04-07;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;3016064,847;2018-07-17;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;3010934,033;2020-02-11;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;3010037,278;2017-09-29;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;3001562,843;2017-12-26;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2968593,751;2017-10-22;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2967991,531;2019-10-30;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2955556,288;2018-03-15;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2949516,134;2017-11-11;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2935513,18;2017-05-23;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2935150,761;2018-05-21;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2914054,438;2018-08-26;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2902706,447;2017-05-28;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2892540,53;2019-08-13;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2876856,687;2019-02-26;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2841478,848;2017-03-22;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2837757,662;2017-09-08;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2833402,131;2017-11-03;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
OKTAPACK AB;2830904,835;2020-11-12;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
OKTAPACK AB;2819058,733;2020-02-17;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
GENERAL MANUFACTURING EQUIPMENT AS;2817662,473;2019-05-21;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2804640,177;2018-09-07;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2782371,351;2018-05-25;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2774625,415;2018-12-28;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2773671,826;2019-10-10;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2772731,854;2020-09-16;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
OKTAPACK AB;2770631,355;2020-02-16;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
OKTAPACK AB;2766218,739;2017-08-23;5560500398;Sweden;0;72163049,56;0;2017
OKTAPACK AB;2760772,153;2020-03-12;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
OKTAPACK AB;2752732,081;2017-12-19;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2740438,299;2019-10-16;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2736173,605;2017-11-01;5560500398;Sweden;0;72163049,56;0;2017
GENERAL MANUFACTURING EQUIPMENT AS;2734900,099;2017-07-05;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2728293,263;2017-12-16;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2714077,814;2018-04-01;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
OKTAPACK AB;2711305,066;2019-05-14;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2678484,66;2019-06-23;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2676266,043;2019-10-26;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2660844,705;2020-12-11;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2658843,01;2019-06-01;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2658463,478;2019-11-02;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2658375,548;2017-02-02;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2651799,054;2018-12-13;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2650835,041;2018-09-20;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2649308,604;2020-11-06;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2634741,228;2017-05-19;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2634004,711;2020-12-04;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
OKTAPACK AB;2621594,678;2020-06-22;5560500398;Sweden;1838488817;71269332,43;0,03876517;2020
GENERAL MANUFACTURING EQUIPMENT AS;2616718,073;2017-08-17;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2614598,009;2019-06-17;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
GENERAL MANUFACTURING EQUIPMENT AS;2609700,787;2018-04-14;831018682;Norway;187469038,8;12917074,09;0,068902439;2018
GENERAL MANUFACTURING EQUIPMENT AS;2608915,283;2020-10-12;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2601800,285;2017-07-09;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2595987,108;2017-10-21;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
GENERAL MANUFACTURING EQUIPMENT AS;2572109,281;2019-10-02;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2556664,793;2019-10-03;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2541756,043;2019-11-21;831018682;Norway;179531246,6;11956429,41;0,066598041;2019
OKTAPACK AB;2541426,924;2019-03-28;5560500398;Sweden;0;70295450,37;0;2019
GENERAL MANUFACTURING EQUIPMENT AS;2536890,677;2020-03-05;831018682;Norway;173456378,6;15474447,13;0,089212327;2020
GENERAL MANUFACTURING EQUIPMENT AS;2528407,112;2017-03-03;831018682;Norway;173796128,6;11484206,94;0,066078612;2017
